"日期","X1","year"
"3月25日","-10時10分，總統蔡英文出席「力晶積成電子製造股份有限公司銅鑼廠動土典禮」，苗栗縣銅鑼鄉銅科五路及銅科七路路口旁空地。","2021"
"3月25日","-15時，總統蔡英文出席「國際大屠殺紀念日活動」，台北賓館（台北市中正區凱達格蘭大道1號）。
        二、政黨社團：","2021"
"3月26日","-10時30分，總統蔡英文出席「臺北國際烘焙暨設備展開幕典禮」，南港展覽館1館（臺北市南港區經貿二路1號）。","2021"
"3月26日","-16時，總統蔡英文出席「110年廣播節及廣播商業同業公會理事長交接典禮」，中廣松江大樓12樓（臺北市中山區松江路373號）。","2021"
"3月26日","-10時30分，經濟部長王美花陪同總統蔡英文出席「2021台北國際烘焙暨設備展開幕典禮」，南港展覽館一館4樓。","2021"
"3月28日","-13時10分，總統蔡英文出席「台灣婦女團體全國聯合會20周年感恩餐會」，大直典華會館5樓繁華廳（臺北市中山區植福路8號）。","2021"
"3月28日","-18時30分，總統蔡英文出席「新北市藥師公會第三、四屆理事長交接典禮」，新莊典華會館5樓紫艷盛事廳（新北市新莊區中央路469號）。
	二、政黨社團：","2021"
"3月29日","-10時，總統蔡英文主持「中華民國110年向先祖暨忠烈殉職人員致祭典禮」，忠烈祠（臺北市中山區北安路139號）。","2021"
"3月30日","-16時，總統蔡英文會見「帛琉共和國總統惠恕仁伉儷」，總統府。
        二、政黨社團：","2021"
"3月31日","-15時20分，總統蔡英文出席「110年全國社會工作專業人員表揚頒獎典禮」，台北君悅酒店3樓凱悅廳（臺北市信義區松壽路2號）。","2021"
"4月1日","-13時30分，總統蔡英文出席EMU900型空調通勤電聯車首航典禮，基隆車站南站廣場（基隆市中山區中山一路16之1號）。

二、政黨社團：","2021"
"4月3日","-9時10分，總統蔡英文至國軍花蓮總醫院探視台鐵太魯閣列車事故傷患，國軍花蓮總醫院（花蓮縣新城鄉嘉里村嘉里路163號）。

二、政黨社團：","2021"
"4月9日","-15時25分，總統蔡英文參拜「大甲鎮瀾宮」（大甲鎮瀾宮/臺中市大甲區順天路158號）。
        二、 政黨社團：","2021"
"4月10日","-9時20分，總統蔡英文頒贈空軍烈士羅尚樺少校褒揚令，台東志航基地2號棚廠（台東市志航路三段3號）。

二、政黨社團：","2021"
"4月11日","-15時，總統蔡英文參拜「白沙屯拱天宮」，白沙屯拱天宮（苗栗縣通霄鎮白東里8號）。","2021"
"4月13日","-11時，總統蔡英文出席「海軍新型兩棲船塢運輸艦命名暨下水典禮」，高雄台船。","2021"
"4月13日","-14時，總統蔡英文出席「東京奧運倒數100天宣誓活動」，國家運動訓練中心。","2021"
"4月13日","-10時，國民黨召開「行政院卸責四大謊言 蘇貞昌下台、蔡英文踹共」記者會，中央黨部媒體中心。
	三、國會：","2021"
"4月17日","-10時，總統蔡英文出席「0402臺鐵408次列車事故聯合追思公祭」，臺東市立殯儀館（臺東縣臺東市民航路200巷150號）。","2021"
"4月17日","-18時50分，總統蔡英文出席「2021保生文化祭開鑼式」，大龍峒保安宮（臺北市大同區哈密街61號）。
	二、政黨社團：","2021"
"4月19日","-10時，總統蔡英文接見「第九屆台灣兒童醫療貢獻獎得獎者」，總統府。","2021"
"4月19日","-14時，總統蔡英文頒贈「總統府前資政、考試院前院長許水德褒揚令」，台北市立第一殯儀館景行廳（台北市中山區民權東路二段145號）。
	二、政黨社團：","2021"
"4月20日","-10時，總統蔡英文接受貝里斯新任駐臺特命全權大使碧坎蒂呈遞到任國書，總統府。","2021"
"4月22日","-10時30分，國民黨召開「謝長廷製造假消息 蔡英文還不撤職？警政署還不法辦？」記者會，國民黨中央黨部。
	三、國會：","2021"
"4月22日","-15時，世界地球日環保團體代表向蔡英文總統遞交建言書會前記者會，國發會門口。
	六、體育娛樂：","2021"
"4月23日","-11時30分，總統蔡英文見證「TAYAL泰雅爾Skaru 流域部落群與國家山林治理機關Sbalay和解儀式」，觀霧國家森林遊樂區泰雅爾祖靈紀念廣場（苗栗縣泰安鄉梅園村8鄰觀霧1-3號）。
	二、政黨社團：","2021"
"4月24日","-15時，民進黨主席蔡英文出席「全國高中職國際知識競賽」決賽，張榮發基金會602會議室（台北市中正區中山南路11號）。
	二、國會：","2021"
"4月25日","-10時，總統蔡英文出席「臺中捷運綠線通車典禮」，捷運市政府站（臺中市西屯區文心路二段699號）。","2021"
"4月27日","-10時20分，總統蔡英文出席「新民高中85周年校慶」，新民高中大禮堂（台中市北區健行路111號）。","2021"
"4月27日","-11時15分，總統蔡英文視導「緊急抗旱水源應變計畫」，中央公園（台中市西屯區凱旋路與環中路口）。

二、政黨社團：","2021"
"4月27日","-11時15分，經濟部長王美花陪同總統蔡英文視導「緊急抗旱水源應變計畫」，台中中央公園（台中市西屯區凱旋路與環中路口）。","2021"
"4月27日","-11時，台中市副市長令狐榮達陪同總統蔡英文視察台中抗旱水井工程，台中中央公園（西屯區環中路與凱旋路口）。","2021"
"4月29日","-10時20分，總統蔡英文出席「嘉義級巡防艦首艘嘉義艦交船暨第2艘新竹艦命名下水聯合典禮」，臺船公司高雄廠（高雄市小港區中鋼路3號）。","2021"
"4月29日","-10時20分，經濟部長王美花陪同總統蔡英文出席嘉義級巡防艦首艘嘉義艦交船暨第2艘新竹艦命名下水聯合典禮，台船公司高雄廠區行政大樓及2號碼頭。","2021"
"4月30日","-9時，總統蔡英文出席「松山慈惠堂『2021台北母娘文化季』系列活動—起駕儀式」，松山慈惠堂（台北市信義區福德街251巷33號）。","2021"
"4月30日","-10時，總統蔡英文簽署「勞工職業災害保險及保護法」暨接見「110年度全國模範勞工及其眷屬」，總統府。","2021"
"5月1日","-9時20分，總統蔡英文出席「台南土城正統鹿耳門聖母廟辛丑科土城香禳災祈安香醮」，台南土城正統鹿耳門聖母廟（臺南市安南區城安路160號）。","2021"
"5月1日","-10時40分，總統蔡英文視察「牛結節疹防疫情形」，柳營農會動物用藥門市（臺南市柳營區八翁里108號）。","2021"
