"tsai02","Freq"
"000",1
"0111",1
"0402",1
"1",29
"1-1",1
"1-3",1
"10",106
"100",4
"101",5
"102",1
"108",1
"109",2
"11",41
"110",27
"1101",3
"111",7
"1110201",2
"1110202",1
"117",1
"12",9
"1209",1
"121",1
"1218",1
"122",2
"123",3
"125",1
"127",1
"13",11
"131",1
"139",3
"14",22
"140",1
"145",4
"15",42
"150",1
"156",1
"158",1
"16",12
"160",1
"163",3
"168",1
"17",2
"172",1
"18",13
"189",1
"19",4
"1986-1987",1
"1991",1
"2",27
"2-1",1
"20",21
"200",3
"202",1
"2020",2
"2021",29
"2022",2
"21",2
"21-1",1
"211",1
"224",2
"226",1
"23",3
"231",1
"236",1
"24",1
"242",2
"25",11
"250",1
"251",1
"26",4
"265",1
"27",3
"28",1
"29",1
"3",22
"30",56
"300",2
"301",2
"306",1
"31",1
"3100",1
"318",1
"33",1
"35",5
"360",1
"37",1
"373",1
"39",2
"4",4
"40",15
"408",1
"409",1
"42",1
"422",1
"439",1
"45",7
"469",1
"5",12
"50",11
"505",2
"51",1
"537",1
"54",1
"55",3
"58",3
"59",1
"6",11
"600",1
"602",1
"606",1
"61",3
"62",1
"631",2
"64",1
"66",2
"67",1
"68-2",1
"69",1
"699",2
"7",11
"70",2
"734",1
"74",3
"75",1
"8",10
"85",1
"9",54
"98",3
"99",1
"AIoT",2
"B1",1
"BIG",1
"C",1
"COP26",2
"D6",1
"EMU900",1
"F",4
"G",2
"GiCS",1
"Heroes",1
"HEROES",1
"K",2
"Keynote",1
"LNG",2
"LY2",1
"NEXT",1
"NHQA",1
"Our",1
"OUR",1
"Sbalay",1
"SEMI",1
"Skaru",1
"TAYAL",1
"V",2
"X",2
"一",3
"一九二",1
"一步",1
"一段",11
"一百年",2
"一號",3
"一路",6
"一館",3
"七段",1
"七海",2
"七路",1
"三",6
"三十週年",1
"三國",1
"三樓",1
"三段",11
"三民",2
"三營",1
"三路",2
"三邊",1
"上",2
"上半年",1
"上游",2
"下",1
"下台",1
"下水",2
"下水典禮",1
"不",2
"世界",7
"世紀",2
"世貿中心",1
"中",27
"中國",1
"中央",7
"中央公園",3
"中央政府",1
"中央氣象局",2
"中央研究院",2
"中央社",1
"中央黨部",2
"中小學",1
"中山",3
"中山公園",1
"中山北路",12
"中山南路",7
"中山堂",3
"中山樓",1
"中山路",2
"中平",2
"中廣",1
"中心",27
"中斷",1
"中樞",2
"中正",37
"中正路",3
"中興大學",4
"中興路",1
"中華",2
"中華民國",17
"中華路",2
"中路",2
"中鋼路",1
"中隊",1
"主席",13
"主持",7
"主線",1
"主辦單位",1
"之",4
"之夜",1
"之約",2
"九",1
"九路",1
"事故",2
"二",56
"二六",1
"二段",11
"二路",8
"二館",1
"五年",1
"五段",4
"五路",2
"亞",1
"亞洲",3
"亞灣",2
"交接",2
"交流",1
"交艇",1
"亭",1
"人",2
"人員",7
"人權",2
"仁愛路",4
"代表",14
"代表團",3
"代表大會",1
"代表處",1
"令",5
"令狐",1
"任布達",1
"企業",5
"伉儷",2
"住",5
"住宅",5
"何",1
"作業",1
"作者",1
"你",1
"佮",1
"佳冬",2
"例行",1
"侯友宜",1
"便",2
"保安",1
"保生",1
"保衛戰",1
"保護",2
"保護法",1
"保險",1
"信義",10
"信義路",6
"倒數",1
"假",1
"假消息",1
"停車場",1
"健",1
"傅",1
"傑出",2
"傑出貢獻",1
"傑出青年",1
"傳染性",2
"傳賢樓",1
"傷患",1
"儀式",8
"優等",1
"優良",6
"元年",1
"元旦",1
"先生",1
"先祖",1
"光復",3
"光復路",1
"光臨",2
"光華",1
"光雕",1
"光電",1
"克",1
"兒童",1
"入場",1
"內埔",1
"內政部",4
"內政部長",5
"內湖",1
"內湖區",1
"全",2
"全國",16
"全國性",2
"全權大使",2
"全民",3
"全球",1
"全能",2
"全體",1
"兩岸",1
"兩棲",1
"八田",1
"八翁",1
"八里",1
"公務人員",2
"公司",7
"公園",3
"公園路",3
"公平交易",1
"公會",6
"公民投票",1
"公益",1
"公祭",1
"公約",1
"公道",1
"六",4
"六堆",1
"六龜",2
"共",1
"共和國",3
"共訊",1
"兵",1
"其邁",5
"典禮",37
"典範",2
"典華",3
"再生能源",1
"冷",2
"凱",1
"凱悅",2
"凱旋",2
"凱旋路",2
"出來",1
"出口",1
"出席",133
"分",133
"分局",8
"分隊",1
"分駐",2
"列車",1
"到任",2
"前",16
"前往",2
"副",10
"創新",4
"創校",1
"創黨",1
"力",1
"加",1
"勇",5
"勇者",1
"動保入",1
"動員",3
"動土",6
"動物",3
"動物園",2
"務",1
"勞工",2
"勢力",1
"勳章",2
"北",15
"北側",1
"北區",3
"北安路",5
"北平",1
"北投區",1
"北美",1
"匝道",1
"匯",1
"區",60
"區保雅路",1
"區凱",3
"區北",2
"區和",2
"區城安路",1
"區得",1
"區松壽路",2
"區源",1
"區福德街",1
"區鳳松",1
"區鳳松路",2
"十三路",1
"十大",2
"千禧",1
"升旗典禮",1
"半導體",2
"卓越",1
"協會",8
"南",1
"南京東路",1
"南區",3
"南屯區環",1
"南島",1
"南德",1
"南投縣",2
"南港",6
"南港區",4
"南站",1
"南聖宮",1
"南聖路",1
"南路",5
"博",1
"博愛",1
"博愛路",1
"博物館",3
"博覽會",1
"印太",1
"危老",1
"卸責",1
"原",1
"原住",2
"參拜",3
"參訪",1
"參香",1
"及",29
"及備詢",1
"及其",2
"及第",1
"友台",2
"友臺",1
"召開",7
"台",24
"台中",5
"台中市",10
"台入",1
"台北",22
"台北市",74
"台北市立",1
"台南",2
"台南市",7
"台商",1
"台大",2
"台東",1
"台東志航",1
"台灣",18
"台積館",1
"台肥",1
"台船",2
"台鐵",1
"台電",2
"史",1
"史明",1
"司法",1
"各界",2
"各縣市",1
"各項",1
"同仁",1
"同業公會",4
"同濟",1
"向",2
"君悅",2
"含",1
"吳政忠",1
"呈遞",2
"周",1
"周年",7
"命名",3
"和",2
"和平",1
"和解",1
"和諧",1
"品牌",3
"品質",2
"哈密",1
"員",1
"商人",1
"商會",2
"商業",3
"商港",1
"商號",1
"單位",2
"嘉南",1
"嘉南大圳",1
"嘉義",7
"嘉義市",2
"嘉義縣",4
"嘉里",2
"嚴重",2
"四大",1
"四屆",1
"四段",12
"四海",1
"四路",1
"困",1
"國史館",1
"國家",32
"國小",1
"國慶",7
"國政",1
"國書",2
"國會",14
"國會議員",1
"國民黨",4
"國民黨中央",3
"國父",1
"國發",1
"國立",4
"國立大學",1
"國策顧問",1
"國軍",7
"國防部",3
"國際",19
"國際文教",1
"國際會議中心",10
"園",1
"園區",9
"園暨",2
"圓山",12
"圖書館",2
"團結",1
"團隊",1
"團體",5
"土城",3
"在",4
"地",3
"地區",1
"地方",3
"地球日",1
"圳",1
"型",1
"型機",1
"城鄉",1
"城隍",1
"城隍廟",1
"城隍爺",1
"執政",1
"執行長",1
"基地",10
"基金會",7
"基隆",5
"基隆市",8
"基隆港",2
"基隆港務",2
"堂",1
"堅定",2
"堆",1
"報告",1
"塔江艦",1
"士林區",2
"外",1
"外交部",3
"外來",1
"外商",1
"外國",1
"外賓",1
